frame,ID,centroidX,centroidY,frontX,frontY,1cm,check,score
56,40,1084.0,1738.0,1092.0,1733.0,X,NA,X
57,35,660.25,1705.0,683.5,1706.5,100,NA,NA
57,40,1084.0,1738.0,1091.5,1733.0,X,NA,NA
58,40,1084.5,1737.0,1090.5,1730.5,X,NA,NA
58,35,710.75,1757.25,731.5,1768.0,100,NA,NA
59,40,1085.0,1742.5,1089.5,1734.5,X,NA,NA
60,40,1084.75,1745.25,1088.5,1740.0,X,NA,NA
61,35,760.5,1880.5,779.5,1895.0,100,NA,NA
61,40,1088.0,1744.0,1084.0,1721.0,X,NA,X
62,40,1088.0,1744.5,1083.5,1721.0,X,NA,NA
63,40,1087.75,1745.0,1084.5,1722.0,X,NA,NA
64,40,1080.5,1727.0,1091.5,1727.5,100,NA,NA
65,40,1071.75,1726.25,1069.0,1703.0,X,NA,NA
66,40,1077.0,1740.0,1074.0,1716.0,X,NA,NA
67,40,1074.5,1724.25,1070.0,1701.0,X,NA,NA
68,40,1072.75,1721.0,1085.5,1723.5,100,NA,NA
69,40,1071.0,1714.25,1084.0,1717.0,100,NA,NA
70,40,1072.5,1717.75,1067.5,1694.0,X,NA,NA
71,40,1073.5,1717.25,1085.0,1720.0,100,NA,NA
72,40,1072.0,1717.75,1067.0,1694.5,X,NA,NA
73,40,1072.0,1720.25,1084.0,1722.0,100,NA,NA
